rank, configurations,google pixel format, model format, energy_efficiency estimated
1634,001001-3-1,[0- 0- 1- 0- 0- 1- 3- 1],0-0-0-1-0-0-1-3-1,12531694414.37687
1635,033300-1-2,[0- 3- 3- 3- 0- 0- 1- 2],2-0-1-1-1-0-0-1-2,12530965267.039177
1636,011110-3-3,[0- 1- 1- 1- 1- 0- 3- 3],0-0-1-1-1-1-0-3-3,12529390988.203344
1637,200020-3-3,[2- 0- 0- 0- 2- 0- 3- 3],1-1-0-0-0-1-0-3-3,12529164406.867905
1638,110001-3-1,[1- 1- 0- 0- 0- 1- 3- 1],0-1-1-0-0-0-1-3-1,12527122845.033802
1639,330030-1-1,[3- 3- 0- 0- 3- 0- 1- 1],2-1-1-0-0-1-0-1-1,12526938665.0063
1640,110110-1-3,[1- 1- 0- 1- 1- 0- 1- 3],0-1-1-0-1-1-0-1-3,12521987487.623177
1641,001010-3-3,[0- 0- 1- 0- 1- 0- 3- 3],0-0-0-1-0-1-0-3-3,12518507983.664564
1642,022200-2-0,[0- 2- 2- 2- 0- 0- 2- 0],1-0-1-1-1-0-0-2-0,12518330787.834927
1643,303330-2-0,[3- 0- 3- 3- 3- 0- 2- 0],2-1-0-1-1-1-0-2-0,12516497829.246365
1644,030030-3-1,[0- 3- 0- 0- 3- 0- 3- 1],2-0-1-0-0-1-0-3-1,12515124602.884754
1645,202022-1-0,[2- 0- 2- 0- 2- 2- 1- 0],1-1-0-1-0-1-1-1-0,12514941863.40754
1646,000030-2-1,[0- 0- 0- 0- 3- 0- 2- 1],2-0-0-0-0-1-0-2-1,12513592579.853558
1647,002220-1-3,[0- 0- 2- 2- 2- 0- 1- 3],1-0-0-1-1-1-0-1-3,12513358057.639355
1648,010111-0-2,[0- 1- 0- 1- 1- 1- 0- 2],0-0-1-0-1-1-1-0-2,12512981469.418816
1649,202020-3-1,[2- 0- 2- 0- 2- 0- 3- 1],1-1-0-1-0-1-0-3-1,12512580413.456203
1650,300330-3-1,[3- 0- 0- 3- 3- 0- 3- 1],2-1-0-0-1-1-0-3-1,12512162306.968927
1651,101100-3-1,[1- 0- 1- 1- 0- 0- 3- 1],0-1-0-1-1-0-0-3-1,12510998737.400843
1652,111101-1-3,[1- 1- 1- 1- 0- 1- 1- 3],0-1-1-1-1-0-1-1-3,12510641454.320759
1653,100110-1-1,[1- 0- 0- 1- 1- 0- 1- 1],0-1-0-0-1-1-0-1-1,12507996702.357903
1654,111001-3-0,[1- 1- 1- 0- 0- 1- 3- 0],0-1-1-1-0-0-1-3-0,12507031535.160608
1655,030003-1-1,[0- 3- 0- 0- 0- 3- 1- 1],2-0-1-0-0-0-1-1-1,12505366491.697521
1656,303000-2-3,[3- 0- 3- 0- 0- 0- 2- 3],2-1-0-1-0-0-0-2-3,12504444269.1387
1657,000003-3-3,[0- 0- 0- 0- 0- 3- 3- 3],2-0-0-0-0-0-1-3-3,12503276963.505228
1658,202020-1-1,[2- 0- 2- 0- 2- 0- 1- 1],1-1-0-1-0-1-0-1-1,12501239440.734371
1659,000033-1-1,[0- 0- 0- 0- 3- 3- 1- 1],2-0-0-0-0-1-1-1-1,12499535043.346355
1660,000303-1-2,[0- 0- 0- 3- 0- 3- 1- 2],2-0-0-0-1-0-1-1-2,12498458307.305704
1661,033000-3-2,[0- 3- 3- 0- 0- 0- 3- 2],2-0-1-1-0-0-0-3-2,12496059152.372053
1662,011110-0-2,[0- 1- 1- 1- 1- 0- 0- 2],0-0-1-1-1-1-0-0-2,12494909590.124489
1663,030300-3-3,[0- 3- 0- 3- 0- 0- 3- 3],2-0-1-0-1-0-0-3-3,12494481434.177378
1664,330030-2-0,[3- 3- 0- 0- 3- 0- 2- 0],2-1-1-0-0-1-0-2-0,12493773183.227797
1665,200002-3-0,[2- 0- 0- 0- 0- 2- 3- 0],1-1-0-0-0-0-1-3-0,12493681658.943111
1666,111111-0-3,[1- 1- 1- 1- 1- 1- 0- 3],0-1-1-1-1-1-1-0-3,12493026696.459568
1667,100110-3-1,[1- 0- 0- 1- 1- 0- 3- 1],0-1-0-0-1-1-0-3-1,12492464130.298166
1668,100101-3-1,[1- 0- 0- 1- 0- 1- 3- 1],0-1-0-0-1-0-1-3-1,12490867454.449335
1669,011110-1-3,[0- 1- 1- 1- 1- 0- 1- 3],0-0-1-1-1-1-0-1-3,12489240774.660408
1670,333030-3-0,[3- 3- 3- 0- 3- 0- 3- 0],2-1-1-1-0-1-0-3-0,12489051741.454966
1671,220220-3-0,[2- 2- 0- 2- 2- 0- 3- 0],1-1-1-0-1-1-0-3-0,12488912608.237728
1672,020020-3-1,[0- 2- 0- 0- 2- 0- 3- 1],1-0-1-0-0-1-0-3-1,12488357419.388844
1673,202000-3-2,[2- 0- 2- 0- 0- 0- 3- 2],1-1-0-1-0-0-0-3-2,12487418243.848507
1674,033030-1-2,[0- 3- 3- 0- 3- 0- 1- 2],2-0-1-1-0-1-0-1-2,12486998964.624779
1675,002202-1-3,[0- 0- 2- 2- 0- 2- 1- 3],1-0-0-1-1-0-1-1-3,12486133904.93816
1676,033030-3-3,[0- 3- 3- 0- 3- 0- 3- 3],2-0-1-1-0-1-0-3-3,12484142893.882853
1677,001111-3-3,[0- 0- 1- 1- 1- 1- 3- 3],0-0-0-1-1-1-1-3-3,12483305625.907375
1678,010111-1-3,[0- 1- 0- 1- 1- 1- 1- 3],0-0-1-0-1-1-1-1-3,12482746365.190155
1679,010111-3-0,[0- 1- 0- 1- 1- 1- 3- 0],0-0-1-0-1-1-1-3-0,12481073292.290155
1680,101101-3-0,[1- 0- 1- 1- 0- 1- 3- 0],0-1-0-1-1-0-1-3-0,12478580218.04225
1681,300300-3-3,[3- 0- 0- 3- 0- 0- 3- 3],2-1-0-0-1-0-0-3-3,12477369443.38449
1682,330030-3-3,[3- 3- 0- 0- 3- 0- 3- 3],2-1-1-0-0-1-0-3-3,12477051142.810297
1683,200200-1-2,[2- 0- 0- 2- 0- 0- 1- 2],1-1-0-0-1-0-0-1-2,12471949656.147747
1684,110000-3-2,[1- 1- 0- 0- 0- 0- 3- 2],0-1-1-0-0-0-0-3-2,12471515490.536741
1685,033303-1-0,[0- 3- 3- 3- 0- 3- 1- 0],2-0-1-1-1-0-1-1-0,12468891230.335167
1686,000030-3-2,[0- 0- 0- 0- 3- 0- 3- 2],2-0-0-0-0-1-0-3-2,12466242368.370827
1687,030300-2-3,[0- 3- 0- 3- 0- 0- 2- 3],2-0-1-0-1-0-0-2-3,12466043618.40104
1688,000020-3-3,[0- 0- 0- 0- 2- 0- 3- 3],1-0-0-0-0-1-0-3-3,12461466008.50405
1689,020220-1-1,[0- 2- 0- 2- 2- 0- 1- 1],1-0-1-0-1-1-0-1-1,12460521154.83717
1690,010110-1-3,[0- 1- 0- 1- 1- 0- 1- 3],0-0-1-0-1-1-0-1-3,12457438243.986296
1691,101011-3-0,[1- 0- 1- 0- 1- 1- 3- 0],0-1-0-1-0-1-1-3-0,12454667491.40582
1692,020020-3-3,[0- 2- 0- 0- 2- 0- 3- 3],1-0-1-0-0-1-0-3-3,12453948178.369722
1693,003003-1-2,[0- 0- 3- 0- 0- 3- 1- 2],2-0-0-1-0-0-1-1-2,12450212704.565577
1694,200220-1-3,[2- 0- 0- 2- 2- 0- 1- 3],1-1-0-0-1-1-0-1-3,12449612088.818829
1695,000111-3-2,[0- 0- 0- 1- 1- 1- 3- 2],0-0-0-0-1-1-1-3-2,12445537988.355045
1696,010110-1-1,[0- 1- 0- 1- 1- 0- 1- 1],0-0-1-0-1-1-0-1-1,12442946676.995573
1697,111110-0-2,[1- 1- 1- 1- 1- 0- 0- 2],0-1-1-1-1-1-0-0-2,12440935283.504953
1698,220002-1-3,[2- 2- 0- 0- 0- 2- 1- 3],1-1-1-0-0-0-1-1-3,12440888944.789917
1699,110000-1-1,[1- 1- 0- 0- 0- 0- 1- 1],0-1-1-0-0-0-0-1-1,12439401146.05894
1700,200220-1-1,[2- 0- 0- 2- 2- 0- 1- 1],1-1-0-0-1-1-0-1-1,12439068736.722713
1701,001011-3-1,[0- 0- 1- 0- 1- 1- 3- 1],0-0-0-1-0-1-1-3-1,12437781750.997187
1702,002000-3-2,[0- 0- 2- 0- 0- 0- 3- 2],1-0-0-1-0-0-0-3-2,12437534128.429325
1703,100011-1-1,[1- 0- 0- 0- 1- 1- 1- 1],0-1-0-0-0-1-1-1-1,12436150689.9739
1704,011010-3-1,[0- 1- 1- 0- 1- 0- 3- 1],0-0-1-1-0-1-0-3-1,12432081685.451954
1705,100111-3-0,[1- 0- 0- 1- 1- 1- 3- 0],0-1-0-0-1-1-1-3-0,12429444177.814146
1706,000220-1-3,[0- 0- 0- 2- 2- 0- 1- 3],1-0-0-0-1-1-0-1-3,12428831463.232334
1707,011111-0-3,[0- 1- 1- 1- 1- 1- 0- 3],0-0-1-1-1-1-1-0-3,12425519306.774734
1708,220000-2-3,[2- 2- 0- 0- 0- 0- 2- 3],1-1-1-0-0-0-0-2-3,12424404605.416325
1709,300300-3-2,[3- 0- 0- 3- 0- 0- 3- 2],2-1-0-0-1-0-0-3-2,12419833314.87299
1710,222200-3-0,[2- 2- 2- 2- 0- 0- 3- 0],1-1-1-1-1-0-0-3-0,12417358942.737743
1711,022022-0-3,[0- 2- 2- 0- 2- 2- 0- 3],1-0-1-1-0-1-1-0-3,12416855784.292236
1712,220200-3-1,[2- 2- 0- 2- 0- 0- 3- 1],1-1-1-0-1-0-0-3-1,12410996994.489708
1713,200222-1-0,[2- 0- 0- 2- 2- 2- 1- 0],1-1-0-0-1-1-1-1-0,12410486979.291862
1714,200202-1-3,[2- 0- 0- 2- 0- 2- 1- 3],1-1-0-0-1-0-1-1-3,12408512950.657398
1715,330000-2-0,[3- 3- 0- 0- 0- 0- 2- 0],2-1-1-0-0-0-0-2-0,12407370636.54443
1716,333303-0-3,[3- 3- 3- 3- 0- 3- 0- 3],2-1-1-1-1-0-1-0-3,12405010232.796043
1717,202220-3-0,[2- 0- 2- 2- 2- 0- 3- 0],1-1-0-1-1-1-0-3-0,12404935202.40617
1718,022220-0-2,[0- 2- 2- 2- 2- 0- 0- 2],1-0-1-1-1-1-0-0-2,12404527597.656595
1719,030000-2-1,[0- 3- 0- 0- 0- 0- 2- 1],2-0-1-0-0-0-0-2-1,12404006676.068169
1720,330330-1-1,[3- 3- 0- 3- 3- 0- 1- 1],2-1-1-0-1-1-0-1-1,12402258304.615643
1721,001010-1-3,[0- 0- 1- 0- 1- 0- 1- 3],0-0-0-1-0-1-0-1-3,12397211028.531578
1722,033033-1-0,[0- 3- 3- 0- 3- 3- 1- 0],2-0-1-1-0-1-1-1-0,12395309704.227303
1723,022000-3-3,[0- 2- 2- 0- 0- 0- 3- 3],1-0-1-1-0-0-0-3-3,12393591395.375223
1724,101100-1-1,[1- 0- 1- 1- 0- 0- 1- 1],0-1-0-1-1-0-0-1-1,12392605609.56263
1725,022002-1-3,[0- 2- 2- 0- 0- 2- 1- 3],1-0-1-1-0-0-1-1-3,12392145534.579376
1726,022000-2-3,[0- 2- 2- 0- 0- 0- 2- 3],1-0-1-1-0-0-0-2-3,12389420273.268864
1727,303033-0-1,[3- 0- 3- 0- 3- 3- 0- 1],2-1-0-1-0-1-1-0-1,12386571014.823967
1728,001010-1-1,[0- 0- 1- 0- 1- 0- 1- 1],0-0-0-1-0-1-0-1-1,12385143019.003109
1729,001100-1-1,[0- 0- 1- 1- 0- 0- 1- 1],0-0-0-1-1-0-0-1-1,12384399247.895077
1730,020220-1-3,[0- 2- 0- 2- 2- 0- 1- 3],1-0-1-0-1-1-0-1-3,12382504368.678513
1731,300030-1-2,[3- 0- 0- 0- 3- 0- 1- 2],2-1-0-0-0-1-0-1-2,12382234174.876932
1732,002200-3-1,[0- 0- 2- 2- 0- 0- 3- 1],1-0-0-1-1-0-0-3-1,12380193671.584528
1733,101010-1-1,[1- 0- 1- 0- 1- 0- 1- 1],0-1-0-1-0-1-0-1-1,12377506715.833382
1734,100111-1-3,[1- 0- 0- 1- 1- 1- 1- 3],0-1-0-0-1-1-1-1-3,12376841718.09608
1735,033330-3-0,[0- 3- 3- 3- 3- 0- 3- 0],2-0-1-1-1-1-0-3-0,12374253992.313562
1736,100101-1-1,[1- 0- 0- 1- 0- 1- 1- 1],0-1-0-0-1-0-1-1-1,12374004658.921867
1737,111101-0-1,[1- 1- 1- 1- 0- 1- 0- 1],0-1-1-1-1-0-1-0-1,12372793050.584743
1738,000033-1-3,[0- 0- 0- 0- 3- 3- 1- 3],2-0-0-0-0-1-1-1-3,12371951025.003792
1739,033033-0-1,[0- 3- 3- 0- 3- 3- 0- 1],2-0-1-1-0-1-1-0-1,12370804481.638685
1740,010001-3-1,[0- 1- 0- 0- 0- 1- 3- 1],0-0-1-0-0-0-1-3-1,12368609335.85429
1741,033300-1-1,[0- 3- 3- 3- 0- 0- 1- 1],2-0-1-1-1-0-0-1-1,12365199924.011244
1742,033330-1-1,[0- 3- 3- 3- 3- 0- 1- 1],2-0-1-1-1-1-0-1-1,12363764961.143185
1743,110010-3-1,[1- 1- 0- 0- 1- 0- 3- 1],0-1-1-0-0-1-0-3-1,12361913735.979862
1744,001110-3-1,[0- 0- 1- 1- 1- 0- 3- 1],0-0-0-1-1-1-0-3-1,12361112161.126322
1745,202000-3-3,[2- 0- 2- 0- 0- 0- 3- 3],1-1-0-1-0-0-0-3-3,12360802030.529343
1746,330300-2-0,[3- 3- 0- 3- 0- 0- 2- 0],2-1-1-0-1-0-0-2-0,12360191189.721296
1747,022000-1-1,[0- 2- 2- 0- 0- 0- 1- 1],1-0-1-1-0-0-0-1-1,12359298820.460493
1748,022020-2-0,[0- 2- 2- 0- 2- 0- 2- 0],1-0-1-1-0-1-0-2-0,12358918768.673183
1749,011000-1-1,[0- 1- 1- 0- 0- 0- 1- 1],0-0-1-1-0-0-0-1-1,12358490971.383907
1750,330300-3-1,[3- 3- 0- 3- 0- 0- 3- 1],2-1-1-0-1-0-0-3-1,12356721374.809757
1751,300333-1-0,[3- 0- 0- 3- 3- 3- 1- 0],2-1-0-0-1-1-1-1-0,12352649834.449863
1752,333300-0-1,[3- 3- 3- 3- 0- 0- 0- 1],2-1-1-1-1-0-0-0-1,12352629376.167662
1753,000111-3-3,[0- 0- 0- 1- 1- 1- 3- 3],0-0-0-0-1-1-1-3-3,12352461069.11522
1754,202000-2-3,[2- 0- 2- 0- 0- 0- 2- 3],1-1-0-1-0-0-0-2-3,12346578186.969559
1755,020200-3-1,[0- 2- 0- 2- 0- 0- 3- 1],1-0-1-0-1-0-0-3-1,12345661485.443928
1756,000111-1-3,[0- 0- 0- 1- 1- 1- 1- 3],0-0-0-0-1-1-1-1-3,12343152124.158085
1757,002000-2-3,[0- 0- 2- 0- 0- 0- 2- 3],1-0-0-1-0-0-0-2-3,12342821099.213911
1758,003000-2-1,[0- 0- 3- 0- 0- 0- 2- 1],2-0-0-1-0-0-0-2-1,12340290346.93095
1759,030303-1-3,[0- 3- 0- 3- 0- 3- 1- 3],2-0-1-0-1-0-1-1-3,12339094136.010084
1760,110011-1-3,[1- 1- 0- 0- 1- 1- 1- 3],0-1-1-0-0-1-1-1-3,12337961998.600716
1761,011101-1-3,[0- 1- 1- 1- 0- 1- 1- 3],0-0-1-1-1-0-1-1-3,12337933698.191483
1762,330330-2-0,[3- 3- 0- 3- 3- 0- 2- 0],2-1-1-0-1-1-0-2-0,12334624299.796978
1763,000202-2-0,[0- 0- 0- 2- 0- 2- 2- 0],1-0-0-0-1-0-1-2-0,12334112895.208687
1764,200222-0-1,[2- 0- 0- 2- 2- 2- 0- 1],1-1-0-0-1-1-1-0-1,12333185740.219006
1765,200222-0-3,[2- 0- 0- 2- 2- 2- 0- 3],1-1-0-0-1-1-1-0-3,12331647797.369587
1766,200022-0-2,[2- 0- 0- 0- 2- 2- 0- 2],1-1-0-0-0-1-1-0-2,12331576656.987835
1767,000300-2-3,[0- 0- 0- 3- 0- 0- 2- 3],2-0-0-0-1-0-0-2-3,12331264971.736202
1768,303000-1-2,[3- 0- 3- 0- 0- 0- 1- 2],2-1-0-1-0-0-0-1-2,12329576593.537027
1769,200000-2-3,[2- 0- 0- 0- 0- 0- 2- 3],1-1-0-0-0-0-0-2-3,12329265996.343748
1770,100010-1-3,[1- 0- 0- 0- 1- 0- 1- 3],0-1-0-0-0-1-0-1-3,12328739578.453407
1771,000300-3-3,[0- 0- 0- 3- 0- 0- 3- 3],2-0-0-0-1-0-0-3-3,12328283904.039698
1772,330003-1-3,[3- 3- 0- 0- 0- 3- 1- 3],2-1-1-0-0-0-1-1-3,12327284605.561811
1773,001100-3-1,[0- 0- 1- 1- 0- 0- 3- 1],0-0-0-1-1-0-0-3-1,12326850935.257408
1774,300030-3-1,[3- 0- 0- 0- 3- 0- 3- 1],2-1-0-0-0-1-0-3-1,12324511596.036201
1775,111011-0-1,[1- 1- 1- 0- 1- 1- 0- 1],0-1-1-1-0-1-1-0-1,12324175509.164745
1776,300303-1-3,[3- 0- 0- 3- 0- 3- 1- 3],2-1-0-0-1-0-1-1-3,12323147863.572498
1777,202200-2-0,[2- 0- 2- 2- 0- 0- 2- 0],1-1-0-1-1-0-0-2-0,12322674287.602932
1778,101000-1-2,[1- 0- 1- 0- 0- 0- 1- 2],0-1-0-1-0-0-0-1-2,12321356532.501245
1779,002020-3-3,[0- 0- 2- 0- 2- 0- 3- 3],1-0-0-1-0-1-0-3-3,12315643114.615364
1780,300030-3-3,[3- 0- 0- 0- 3- 0- 3- 3],2-1-0-0-0-1-0-3-3,12303050603.6509
1781,222200-0-2,[2- 2- 2- 2- 0- 0- 0- 2],1-1-1-1-1-0-0-0-2,12301880846.160791
1782,200202-0-2,[2- 0- 0- 2- 0- 2- 0- 2],1-1-0-0-1-0-1-0-2,12300392214.209774
1783,333300-3-0,[3- 3- 3- 3- 0- 0- 3- 0],2-1-1-1-1-0-0-3-0,12300257438.82902
1784,000220-3-1,[0- 0- 0- 2- 2- 0- 3- 1],1-0-0-0-1-1-0-3-1,12298677569.354792
1785,111000-3-1,[1- 1- 1- 0- 0- 0- 3- 1],0-1-1-1-0-0-0-3-1,12298497725.817204
1786,303000-3-3,[3- 0- 3- 0- 0- 0- 3- 3],2-1-0-1-0-0-0-3-3,12298168747.690954
1787,022000-3-1,[0- 2- 2- 0- 0- 0- 3- 1],1-0-1-1-0-0-0-3-1,12297264280.303913
1788,010010-1-3,[0- 1- 0- 0- 1- 0- 1- 3],0-0-1-0-0-1-0-1-3,12296421395.80296
1789,100001-3-1,[1- 0- 0- 0- 0- 1- 3- 1],0-1-0-0-0-0-1-3-1,12294832655.454613
1790,002002-2-0,[0- 0- 2- 0- 0- 2- 2- 0],1-0-0-1-0-0-1-2-0,12293914905.086662
1791,220000-3-2,[2- 2- 0- 0- 0- 0- 3- 2],1-1-1-0-0-0-0-3-2,12293210659.149246
1792,101010-3-1,[1- 0- 1- 0- 1- 0- 3- 1],0-1-0-1-0-1-0-3-1,12292911409.183496
1793,222020-1-3,[2- 2- 2- 0- 2- 0- 1- 3],1-1-1-1-0-1-0-1-3,12291770398.12247
1794,000300-3-2,[0- 0- 0- 3- 0- 0- 3- 2],2-0-0-0-1-0-0-3-2,12290992959.678154
1795,010110-3-1,[0- 1- 0- 1- 1- 0- 3- 1],0-0-1-0-1-1-0-3-1,12288850007.870518
1796,003300-3-1,[0- 0- 3- 3- 0- 0- 3- 1],2-0-0-1-1-0-0-3-1,12288801666.645271
1797,333030-1-3,[3- 3- 3- 0- 3- 0- 1- 3],2-1-1-1-0-1-0-1-3,12286075600.473251
1798,303000-3-1,[3- 0- 3- 0- 0- 0- 3- 1],2-1-0-1-0-0-0-3-1,12285871049.885674
1799,202022-0-1,[2- 0- 2- 0- 2- 2- 0- 1],1-1-0-1-0-1-1-0-1,12285633558.843838
1800,222200-0-1,[2- 2- 2- 2- 0- 0- 0- 1],1-1-1-1-1-0-0-0-1,12282735208.150982
1801,020000-2-3,[0- 2- 0- 0- 0- 0- 2- 3],1-0-1-0-0-0-0-2-3,12280106489.196869
1802,020000-3-2,[0- 2- 0- 0- 0- 0- 3- 2],1-0-1-0-0-0-0-3-2,12279418748.293669
1803,003030-3-3,[0- 0- 3- 0- 3- 0- 3- 3],2-0-0-1-0-1-0-3-3,12276796161.913214
1804,030300-3-1,[0- 3- 0- 3- 0- 0- 3- 1],2-0-1-0-1-0-0-3-1,12276519653.94907
1805,033330-2-0,[0- 3- 3- 3- 3- 0- 2- 0],2-0-1-1-1-1-0-2-0,12263742170.48463
1806,110101-3-0,[1- 1- 0- 1- 0- 1- 3- 0],0-1-1-0-1-0-1-3-0,12260385933.117136
1807,303030-1-1,[3- 0- 3- 0- 3- 0- 1- 1],2-1-0-1-0-1-0-1-1,12255667982.234657
1808,200020-3-1,[2- 0- 0- 0- 2- 0- 3- 1],1-1-0-0-0-1-0-3-1,12254912704.29487
1809,003303-1-3,[0- 0- 3- 3- 0- 3- 1- 3],2-0-0-1-1-0-1-1-3,12252985565.636906
1810,220000-2-0,[2- 2- 0- 0- 0- 0- 2- 0],1-1-1-0-0-0-0-2-0,12251730533.636198
1811,030330-1-2,[0- 3- 0- 3- 3- 0- 1- 2],2-0-1-0-1-1-0-1-2,12249140835.024757
1812,303330-3-0,[3- 0- 3- 3- 3- 0- 3- 0],2-1-0-1-1-1-0-3-0,12248155352.297575
1813,303300-2-0,[3- 0- 3- 3- 0- 0- 2- 0],2-1-0-1-1-0-0-2-0,12245665213.060905
1814,033000-3-1,[0- 3- 3- 0- 0- 0- 3- 1],2-0-1-1-0-0-0-3-1,12243090062.047886
1815,220022-0-3,[2- 2- 0- 0- 2- 2- 0- 3],1-1-1-0-0-1-1-0-3,12242312309.706009
1816,003030-3-1,[0- 0- 3- 0- 3- 0- 3- 1],2-0-0-1-0-1-0-3-1,12240348693.673515
1817,111011-1-0,[1- 1- 1- 0- 1- 1- 1- 0],0-1-1-1-0-1-1-1-0,12236460416.805904
1818,000011-1-3,[0- 0- 0- 0- 1- 1- 1- 3],0-0-0-0-0-1-1-1-3,12235374092.24031
1819,011010-1-3,[0- 1- 1- 0- 1- 0- 1- 3],0-0-1-1-0-1-0-1-3,12233116991.72357
1820,030333-0-3,[0- 3- 0- 3- 3- 3- 0- 3],2-0-1-0-1-1-1-0-3,12232573187.153242
1821,020000-1-2,[0- 2- 0- 0- 0- 0- 1- 2],1-0-1-0-0-0-0-1-2,12229959170.065022
1822,022002-0-1,[0- 2- 2- 0- 0- 2- 0- 1],1-0-1-1-0-0-1-0-1,12228425536.2189
1823,110010-1-3,[1- 1- 0- 0- 1- 0- 1- 3],0-1-1-0-0-1-0-1-3,12225086841.064695
1824,330330-1-3,[3- 3- 0- 3- 3- 0- 1- 3],2-1-1-0-1-1-0-1-3,12223397210.610512
1825,000002-1-1,[0- 0- 0- 0- 0- 2- 1- 1],1-0-0-0-0-0-1-1-1,12220673100.13145
1826,003000-3-2,[0- 0- 3- 0- 0- 0- 3- 2],2-0-0-1-0-0-0-3-2,12219516010.731941
1827,330000-2-3,[3- 3- 0- 0- 0- 0- 2- 3],2-1-1-0-0-0-0-2-3,12219010104.052414
1828,000110-1-1,[0- 0- 0- 1- 1- 0- 1- 1],0-0-0-0-1-1-0-1-1,12218947237.372738
1829,010011-1-3,[0- 1- 0- 0- 1- 1- 1- 3],0-0-1-0-0-1-1-1-3,12217392435.557264
1830,030030-3-3,[0- 3- 0- 0- 3- 0- 3- 3],2-0-1-0-0-1-0-3-3,12214811030.678766
1831,100011-2-0,[1- 0- 0- 0- 1- 1- 2- 0],0-1-0-0-0-1-1-2-0,12212304910.332542
1832,000202-1-3,[0- 0- 0- 2- 0- 2- 1- 3],1-0-0-0-1-0-1-1-3,12211218425.34946
1833,303003-1-3,[3- 0- 3- 0- 0- 3- 1- 3],2-1-0-1-0-0-1-1-3,12210178783.562443
1834,111010-1-3,[1- 1- 1- 0- 1- 0- 1- 3],0-1-1-1-0-1-0-1-3,12208064148.721985
1835,002002-3-0,[0- 0- 2- 0- 0- 2- 3- 0],1-0-0-1-0-0-1-3-0,12207221289.053951
1836,011111-1-0,[0- 1- 1- 1- 1- 1- 1- 0],0-0-1-1-1-1-1-1-0,12206633403.856152
1837,101001-1-1,[1- 0- 1- 0- 0- 1- 1- 1],0-1-0-1-0-0-1-1-1,12206375589.078041
1838,220000-3-3,[2- 2- 0- 0- 0- 0- 3- 3],1-1-1-0-0-0-0-3-3,12206366246.265657
1839,000200-1-2,[0- 0- 0- 2- 0- 0- 1- 2],1-0-0-0-1-0-0-1-2,12205110054.022593
1840,200000-1-2,[2- 0- 0- 0- 0- 0- 1- 2],1-1-0-0-0-0-0-1-2,12204080309.306726
1841,000101-3-1,[0- 0- 0- 1- 0- 1- 3- 1],0-0-0-0-1-0-1-3-1,12204000238.64257
1842,202000-1-2,[2- 0- 2- 0- 0- 0- 1- 2],1-1-0-1-0-0-0-1-2,12203775361.006756
1843,000000-1-3,[0- 0- 0- 0- 0- 0- 1- 3],0-0-0-0-0-0-0-1-3,12202682439.831638
1844,002000-3-3,[0- 0- 2- 0- 0- 0- 3- 3],1-0-0-1-0-0-0-3-3,12201414770.738897
1845,003333-0-3,[0- 0- 3- 3- 3- 3- 0- 3],2-0-0-1-1-1-1-0-3,12194755453.633793
1846,000330-3-1,[0- 0- 0- 3- 3- 0- 3- 1],2-0-0-0-1-1-0-3-1,12194715373.494377
1847,002020-3-1,[0- 0- 2- 0- 2- 0- 3- 1],1-0-0-1-0-1-0-3-1,12194476181.655039
1848,010011-2-0,[0- 1- 0- 0- 1- 1- 2- 0],0-0-1-0-0-1-1-2-0,12194045041.370298
1849,003030-1-2,[0- 0- 3- 0- 3- 0- 1- 2],2-0-0-1-0-1-0-1-2,12193996961.57197
1850,333300-0-2,[3- 3- 3- 3- 0- 0- 0- 2],2-1-1-1-1-0-0-0-2,12193714313.383904
1851,222202-0-0,[2- 2- 2- 2- 0- 2- 0- 0],1-1-1-1-1-0-1-0-0,12192939501.040722
1852,202020-2-0,[2- 0- 2- 0- 2- 0- 2- 0],1-1-0-1-0-1-0-2-0,12191644906.416393
1853,110001-2-0,[1- 1- 0- 0- 0- 1- 2- 0],0-1-1-0-0-0-1-2-0,12190208015.551908
1854,003003-3-0,[0- 0- 3- 0- 0- 3- 3- 0],2-0-0-1-0-0-1-3-0,12189851841.22114
1855,303000-1-1,[3- 0- 3- 0- 0- 0- 1- 1],2-1-0-1-0-0-0-1-1,12188107802.413036
1856,033000-2-3,[0- 3- 3- 0- 0- 0- 2- 3],2-0-1-1-0-0-0-2-3,12185062694.724022
1857,000111-3-1,[0- 0- 0- 1- 1- 1- 3- 1],0-0-0-0-1-1-1-3-1,12177123414.217768
1858,330030-3-0,[3- 3- 0- 0- 3- 0- 3- 0],2-1-1-0-0-1-0-3-0,12176776493.810158
1859,000001-3-1,[0- 0- 0- 0- 0- 1- 3- 1],0-0-0-0-0-0-1-3-1,12173309798.739796
1860,001011-1-3,[0- 0- 1- 0- 1- 1- 1- 3],0-0-0-1-0-1-1-1-3,12172597264.86913
1861,222020-0-2,[2- 2- 2- 0- 2- 0- 0- 2],1-1-1-1-0-1-0-0-2,12165015202.922892
1862,000011-3-1,[0- 0- 0- 0- 1- 1- 3- 1],0-0-0-0-0-1-1-3-1,12163957939.406914
1863,330330-3-0,[3- 3- 0- 3- 3- 0- 3- 0],2-1-1-0-1-1-0-3-0,12163776621.401117
1864,300033-0-2,[3- 0- 0- 0- 3- 3- 0- 2],2-1-0-0-0-1-1-0-2,12161650252.863886
1865,001101-2-0,[0- 0- 1- 1- 0- 1- 2- 0],0-0-0-1-1-0-1-2-0,12161507058.734459
